method,dataset,point_group,molecule,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.0,15.0,0.0,15.0,0.0,5.56259097798182e-07,5.244367314254798e-07,3.4318317645744107e-06,1.7075472925031877e-06,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.0001,15.0,0.0,15.0,0.0,0.0022279123054459804,0.00221850889934065,0.03733456091418385,0.03744933516007968,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.001,15.0,0.0,15.0,0.0,0.0222277362248367,0.022159482543532623,0.3724504197160556,0.3745342323718024,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.003,15.0,0.0,15.0,0.0,0.30306167969593567,0.06662426785430502,1.9201025542459256,1.1261630185432514,0.13333333333333333
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.01,15.0,0.0,15.0,0.0,0.6423196699724651,0.22357432363137364,4.4816372906488295,3.7805783373757462,0.3333333333333333
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.03,15.0,0.0,15.0,0.0,0.7867893344398531,0.6186169543705354,11.710493425733517,10.241908271956467,0.8666666666666667
asun,qm-sym,C3h,qmsym_QM_sym_xyz_4.tar_QM_sym_126234.xyz,0.1,15.0,0.0,15.0,0.0,2.25332500764508,2.428356832782581,54.6785270279495,43.47997412068497,0.9333333333333333
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.0,15.0,0.0,15.0,0.0,1.4591014719619792e-06,4.874350051645488e-07,1.565399437366743e-05,2.0913097891518726e-06,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.0001,15.0,0.0,15.0,0.0,0.02783229983575782,0.026710235623753315,0.5051224958070708,0.48476385364495617,0.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.001,15.0,0.0,15.0,0.0,0.23116135190201606,0.12197245092977088,4.198505532081254,2.2142138578875845,0.4
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.003,15.0,0.0,15.0,0.0,0.7846856424356264,0.4320722866415398,13.423153159527946,7.84990284684846,0.6666666666666666
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.01,15.0,0.0,15.0,0.0,1.6717947957263997,1.734871329566299,29.979608757047966,24.85746096027571,0.6
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.03,15.0,0.0,15.0,0.0,2.9286991342412816,3.1480530792674664,41.3885537973512,34.68578654629356,1.0
asun,qm-sym,C3h,qmsym_QM_sym_xyz_5.tar_QM_sym_139713.xyz,0.1,15.0,0.0,15.0,0.0,2.7894797320757307,2.9383965316290634,37.27972244060126,26.559055151161193,0.9333333333333333
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.0,15.0,0.0,15.0,0.0,1.5802624436982617,1.8233797427287628,8.715510450402993,10.058093643486995,0.8666666666666667
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.0001,15.0,0.0,15.0,0.0,1.8242639603933422,1.8234504141669339,10.063476208995057,10.051977826186242,1.0
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.001,15.0,0.0,15.0,0.0,1.8896019887954345,1.8426850724704313,12.275535096896101,10.589616309414648,1.0
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.003,15.0,0.0,15.0,0.0,2.114176452168139,2.2256676110692633,21.654961203237725,23.914561226976915,0.8666666666666667
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.01,15.0,0.0,15.0,0.0,2.295065629117849,2.086313880557414,26.13224029244039,22.893040151455587,0.9333333333333333
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.03,15.0,0.0,15.0,0.0,2.2542284278839855,2.2553160264852177,29.511138829676376,33.2842979984726,0.9333333333333333
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_201346.xyz,0.1,15.0,0.0,15.0,0.0,2.4367476310408382,2.5745738292575853,34.292345476616326,36.06504191267018,1.0
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.0,15.0,0.0,15.0,0.0,1.3819410526985097e-13,1.468862955900987e-13,5.496511775939539e-07,0.0,0.0
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.0001,15.0,0.0,15.0,0.0,0.04983050858385459,0.04955532417061472,0.8318772760376255,0.8271714087865966,0.0
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.001,15.0,0.0,15.0,0.0,0.9885182054250581,0.5954105445505846,11.62519026844633,9.956643774736667,0.8666666666666667
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.003,15.0,0.0,15.0,0.0,1.4360554314241825,1.0862211042796168,18.00041479438852,16.881005292949194,0.8
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.01,15.0,0.0,15.0,0.0,1.9956343143352788,2.136722621686694,23.85402020416915,24.599226699295908,0.7333333333333333
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.03,15.0,0.0,15.0,0.0,2.2220627805048765,2.2284809233946152,22.74554822637043,21.51201717792849,0.8
asun,qm-sym,C4h,qmsym_QM_sym_xyz_5.tar_QM_sym_208927.xyz,0.1,15.0,0.0,15.0,0.0,2.5552086879956195,2.439451297276591,25.708714648916533,25.040027996547526,0.9333333333333333
asun,qm9,C*v,qm9_23,0.0,15.0,0.0,15.0,0.0,1.6779096076185093e-15,1.3837329828312699e-15,101.21743078642821,90.0,0.8666666666666667
asun,qm9,C*v,qm9_23,0.0001,15.0,0.0,15.0,0.0,0.0016731347583018377,0.0016868690143822707,82.565713773507,90.00001541862264,0.8666666666666667
asun,qm9,C*v,qm9_23,0.001,15.0,0.0,15.0,0.0,0.016753375263945172,0.017178500105764764,83.58488421826513,90.00081457364408,0.9333333333333333
asun,qm9,C*v,qm9_23,0.003,15.0,0.0,15.0,0.0,0.05042982896448264,0.053717794144170924,109.90839063505003,90.07200160469597,1.0
asun,qm9,C*v,qm9_23,0.01,15.0,0.0,15.0,0.0,0.17085602374965897,0.16648912210447206,97.20856885603395,90.26373550464429,1.0
asun,qm9,C*v,qm9_23,0.03,15.0,0.0,15.0,0.0,0.5489971071308481,0.44551302144513816,101.65331463447302,90.06957198196766,1.0
asun,qm9,C*v,qm9_23,0.1,15.0,0.0,15.0,0.0,1.3921544302790965,1.3198211008521135,108.4928355689577,104.92380349939883,1.0
asun,qm9,C1,qm9_106305,0.0,15.0,0.0,15.0,0.0,1.0423076751168981e-15,9.97605919103058e-16,6.752611485926906e-07,0.0,0.0
asun,qm9,C1,qm9_106305,0.0001,15.0,0.0,15.0,0.0,0.0004896302543069107,0.00048724591907966163,0.013763207346967144,0.013267059562055055,0.0
asun,qm9,C1,qm9_106305,0.001,15.0,0.0,15.0,0.0,0.004894980491522001,0.004877175900662031,0.137601955553741,0.13258601338180045,0.0
asun,qm9,C1,qm9_106305,0.003,15.0,0.0,15.0,0.0,0.014676162117793304,0.014654926767666469,0.4126067950572837,0.3971943178509133,0.0
asun,qm9,C1,qm9_106305,0.01,15.0,0.0,15.0,0.0,0.048819442193734415,0.04857948568214096,1.3730975042610813,1.3174129487108799,0.0
asun,qm9,C1,qm9_106305,0.03,15.0,0.0,15.0,0.0,0.3325095570734216,0.15121214876959016,7.7483508734860544,4.5775479486243915,0.4
